<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
5/2/2024,21:00:00,2987.59000000,2987.59000000,2978.00000000,2984.62000000,13590061
5/2/2024,21:15:00,2984.61000000,2995.33000000,2983.05000000,2990.60000000,11209326
5/2/2024,21:30:00,2990.60000000,2995.00000000,2986.78000000,2993.01000000,8179746
5/2/2024,21:45:00,2993.00000000,3016.38000000,2993.00000000,3001.03000000,41308551
5/2/2024,22:00:00,3001.02000000,3001.79000000,2989.03000000,2995.20000000,9199344
5/2/2024,22:15:00,2995.20000000,3014.80000000,2994.68000000,3001.43000000,20595090
5/2/2024,22:30:00,3001.44000000,3010.47000000,2996.22000000,2997.10000000,12384482
5/2/2024,22:45:00,2997.10000000,2998.59000000,2987.72000000,2995.33000000,13469367
5/2/2024,23:00:00,2995.33000000,3000.58000000,2992.30000000,2995.78000000,9335966
5/2/2024,23:15:00,2995.79000000,2997.76000000,2988.35000000,2993.48000000,8216105
5/2/2024,23:30:00,2993.48000000,2995.58000000,2984.42000000,2984.88000000,9361395
5/2/2024,23:45:00,2984.88000000,2988.44000000,2983.00000000,2986.51000000,8887047
5/3/2024,00:00:00,2986.50000000,2989.91000000,2984.00000000,2984.80000000,6450186
5/3/2024,00:15:00,2984.80000000,2992.22000000,2982.63000000,2988.30000000,10598739
5/3/2024,00:30:00,2988.30000000,2994.00000000,2977.90000000,2979.61000000,16200935
5/3/2024,00:45:00,2979.61000000,2983.30000000,2976.00000000,2980.91000000,10197432
5/3/2024,01:00:00,2980.92000000,2985.54000000,2980.88000000,2982.54000000,6988921
5/3/2024,01:15:00,2982.53000000,3004.96000000,2979.88000000,3003.50000000,21022659
5/3/2024,01:30:00,3003.52000000,3009.48000000,2994.76000000,3006.52000000,17023198
5/3/2024,01:45:00,3006.53000000,3014.37000000,3003.73000000,3010.55000000,23057963
5/3/2024,02:00:00,3010.55000000,3011.72000000,3001.61000000,3005.72000000,16387379
5/3/2024,02:15:00,3005.72000000,3034.46000000,3001.20000000,3025.80000000,54503944
5/3/2024,02:30:00,3025.81000000,3035.00000000,3014.61000000,3014.98000000,35336465
5/3/2024,02:45:00,3014.98000000,3020.00000000,3009.00000000,3010.41000000,14808739
5/3/2024,03:00:00,3010.41000000,3014.99000000,3006.19000000,3010.21000000,14047942
5/3/2024,03:15:00,3010.22000000,3020.00000000,3008.62000000,3016.55000000,14272578
5/3/2024,03:30:00,3016.55000000,3022.74000000,3010.84000000,3012.99000000,16810820
5/3/2024,03:45:00,3013.00000000,3017.19000000,3009.38000000,3012.82000000,11309313
5/3/2024,04:00:00,3012.83000000,3016.27000000,3004.01000000,3008.32000000,11651797
5/3/2024,04:15:00,3008.31000000,3015.96000000,3004.75000000,3011.42000000,11704677
5/3/2024,04:30:00,3011.41000000,3015.50000000,3010.30000000,3010.36000000,6443101
5/3/2024,04:45:00,3010.29000000,3011.02000000,2998.34000000,2999.77000000,16581840
5/3/2024,05:00:00,2999.78000000,3003.97000000,2995.13000000,3002.26000000,13399228
5/3/2024,05:15:00,3002.25000000,3003.00000000,2993.20000000,2997.44000000,10205938
5/3/2024,05:30:00,2997.44000000,3001.42000000,2995.00000000,2999.40000000,10502954
5/3/2024,05:45:00,2999.41000000,3004.12000000,2998.50000000,3002.33000000,8769117
5/3/2024,06:00:00,3002.32000000,3002.39000000,2994.01000000,2995.99000000,11372437
5/3/2024,06:15:00,2995.99000000,2998.03000000,2988.87000000,2991.35000000,14920923
5/3/2024,06:30:00,2991.35000000,2991.35000000,2979.66000000,2988.11000000,26929088
5/3/2024,06:45:00,2988.10000000,2988.40000000,2982.75000000,2985.18000000,9418510
5/3/2024,07:00:00,2985.18000000,2989.20000000,2980.08000000,2980.72000000,13968618
5/3/2024,07:15:00,2980.71000000,2990.82000000,2979.61000000,2988.62000000,15636682
5/3/2024,07:30:00,2988.62000000,2989.73000000,2985.83000000,2986.33000000,5868331
5/3/2024,07:45:00,2986.31000000,2987.40000000,2966.58000000,2973.02000000,34488098
5/3/2024,08:00:00,2973.02000000,2973.10000000,2957.20000000,2967.83000000,50413808
5/3/2024,08:15:00,2967.83000000,2973.89000000,2963.00000000,2971.49000000,23604879
